City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
122,Aden,12.7794,45.0367,77.72,55,16,4.09,few clouds,YE
123,Sainte-Maxime,43.3,6.6333,55.44,60,36,5.68,scattered clouds,FR
124,Manokwari,-0.8667,134.0833,77.43,80,100,4.18,overcast clouds,ID
125,Otofuke,42.9917,143.2003,1.51,93,10,3.33,clear sky,JP
126,Nichinan,31.6,131.3667,39.76,82,17,7.09,few clouds,JP
127,Richards Bay,-28.783,32.0377,73.09,94,100,14.38,moderate rain,ZA
128,Airai,-8.9266,125.4092,60.12,90,99,1.86,overcast clouds,TL
129,Bereda,43.2686,-7.5406,49.75,98,100,2.15,overcast clouds,ES
130,Umm Kaddadah,13.6017,26.6876,65.25,16,8,16.35,clear sky,SD
131,Tahta,26.7693,31.5021,54.79,47,5,11.63,clear sky,EG
132,Zeerust,-25.5369,26.0751,70.61,80,93,4.5,light rain,ZA
133,Severo-Kurilsk,50.6789,156.125,27.66,90,100,3.06,overcast clouds,RU
134,Martapura,-3.4167,114.85,75.29,100,75,3.44,broken clouds,ID
135,Touros,-5.1989,-35.4608,86.9,59,26,15.19,scattered clouds,BR
136,Sherpur,25.0188,90.0175,57.31,95,94,7.61,overcast clouds,BD
137,Farias Brito,-6.9306,-39.5656,90.28,42,100,4.25,overcast clouds,BR
138,Asau,46.4333,26.4,35.4,83,38,5.91,scattered clouds,RO
139,Mount Gambier,-37.8333,140.7667,51.71,100,99,10.36,overcast clouds,AU
140,Puerto Carreno,6.189,-67.4859,94.98,41,40,14.97,scattered clouds,CO
141,Terrace,54.5163,-128.6035,39.42,100,100,3.44,light rain,CA
142,Sao Filipe,14.8961,-24.4956,74.03,71,0,8.7,clear sky,CV
143,Hervey Bay,-25.2986,152.8535,68.11,67,87,26.26,overcast clouds,AU
144,Mount Isa,-20.7333,139.5,71.37,40,28,10.36,scattered clouds,AU
145,Lebu,-37.6167,-73.65,64.24,75,1,17.47,clear sky,CL
146,Pavino,59.1139,46.1414,4.46,99,100,5.73,overcast clouds,RU
147,Kosa,59.9445,54.9977,9.41,96,100,4.85,overcast clouds,RU
148,Pachmarhi,22.4667,78.4333,49.01,32,0,2.82,clear sky,IN
149,Nikolskoye,59.7035,30.7861,19.29,95,72,8.21,broken clouds,RU
150,Tabou,4.423,-7.3528,80.6,78,4,7.45,clear sky,CI
151,Bambous Virieux,-20.3428,57.7575,79.21,94,75,13.8,light rain,MU
152,Cherskiy,68.75,161.3,-34.71,99,14,3.15,few clouds,RU
153,Dakar,14.6937,-17.4441,90.48,50,0,2.3,clear sky,SN
154,Castro,-24.7911,-50.0119,67.01,96,100,6.69,overcast clouds,BR
155,Coquimbo,-29.9533,-71.3436,69.96,69,0,9.55,clear sky,CL
156,Port Elizabeth,-33.918,25.5701,68.09,88,100,2.3,overcast clouds,ZA
157,Yakeshi,49.2833,120.7333,-16.15,97,100,4.47,overcast clouds,CN
158,Gurupa,-1.405,-51.64,81.95,80,100,4.18,moderate rain,BR
159,Tasiilaq,65.6145,-37.6368,19.56,64,100,39.95,overcast clouds,GL
160,Margate,51.3813,1.3862,42.96,69,1,3.0,clear sky,GB
161,Bhatkal,13.9667,74.5667,70.59,77,57,4.56,broken clouds,IN
162,Pekalongan,-6.8886,109.6753,80.01,84,99,5.91,overcast clouds,ID
163,Qinhuangdao,39.9317,119.5883,14.67,56,0,6.44,clear sky,CN
164,Nioro,13.35,-15.75,90.45,8,0,7.0,clear sky,GM
165,Fomboni,-12.28,43.7425,83.97,77,100,19.17,light rain,KM
166,Vagur,61.4732,-6.8119,38.17,56,100,32.75,overcast clouds,FO
167,Harlingen,26.1906,-97.6961,41.32,57,100,20.71,overcast clouds,US
168,Korla,41.7597,86.1469,26.56,46,100,4.05,overcast clouds,CN
169,Alice Springs,-23.7,133.8833,56.75,94,2,0.0,clear sky,AU
170,Kolokani,13.5728,-8.0339,78.42,10,4,8.1,clear sky,ML
171,Grand Gaube,-20.0064,57.6608,79.38,83,100,5.99,overcast clouds,MU
172,Cidreira,-30.1811,-50.2056,78.39,79,100,9.35,overcast clouds,BR
173,Seymchan,62.8833,152.4333,-36.53,99,61,2.06,broken clouds,RU
174,Riyadh,24.6877,46.7219,69.94,20,1,6.73,clear sky,SA
175,Porto Santo,33.072,-16.3415,68.31,88,20,3.44,few clouds,PT
176,Morwa,22.9,73.8333,61.21,23,0,1.07,clear sky,IN
177,Najran,17.4924,44.1277,72.25,50,8,6.26,clear sky,SA
178,Rio Gallegos,-51.6226,-69.2181,59.05,33,0,5.75,clear sky,AR
179,Caravelas,-17.7125,-39.2481,77.04,87,100,6.91,light rain,BR
180,Shimoda,34.6667,138.95,37.11,62,13,27.29,few clouds,JP
181,Shelburne,44.0787,-80.2041,12.13,77,100,6.55,overcast clouds,CA
182,Bethel,41.3712,-73.414,38.5,90,100,9.22,overcast clouds,US
183,Khandyga,62.6667,135.6,-40.31,100,69,0.92,broken clouds,RU
184,Kruisfontein,-34.0033,24.7314,65.88,62,100,4.83,overcast clouds,ZA
185,Shitanjing,39.2342,106.3439,14.72,36,100,3.06,overcast clouds,CN
186,Boundiali,9.5217,-6.4869,80.82,11,6,0.34,clear sky,CI
187,Westport,41.1415,-73.3579,41.76,95,100,1.99,light rain,US
188,Kundiawa,-6.0167,144.9667,61.2,97,100,2.06,overcast clouds,PG
189,Mut,36.6439,33.4389,37.22,73,6,12.91,clear sky,TR
190,Maine-Soroa,13.2114,12.0241,66.49,14,0,9.44,clear sky,NE
191,Longyearbyen,78.2186,15.6401,15.64,62,0,26.46,clear sky,SJ
192,Kautokeino,69.0125,23.0412,12.36,94,100,21.65,light snow,NO
193,Sakakah,29.9697,40.2064,53.17,46,41,7.52,scattered clouds,SA
194,Camargo,27.6667,-105.1667,42.78,28,20,5.97,few clouds,MX
195,Semey,50.4111,80.2275,0.12,83,6,10.04,clear sky,KZ
196,Souillac,-20.5167,57.5167,79.36,94,75,13.8,light rain,MU
197,Kurilsk,45.2333,147.8833,23.23,83,100,9.86,light snow,RU
198,Qaqortoq,60.7167,-46.0333,10.9,71,20,27.49,few clouds,GL
199,Mezen,65.8522,44.24,-11.99,100,100,4.09,overcast clouds,RU
200,Beringovskiy,63.05,179.3167,-9.96,90,94,13.87,overcast clouds,RU
201,Benghazi,32.1167,20.0667,56.14,62,0,9.24,clear sky,LY
202,Severnyy,50.677,36.5532,24.84,86,100,8.95,light snow,RU
203,Carnarvon,-24.8667,113.6333,80.67,57,67,12.66,broken clouds,AU
204,Salisbury,51.0693,-1.7957,44.29,76,100,12.66,overcast clouds,GB
205,Labuhan,-6.8844,112.2051,78.49,86,98,6.06,overcast clouds,ID
206,Thinadhoo,0.5333,72.9333,81.91,73,100,8.97,overcast clouds,MV
207,Bonthe,7.5264,-12.505,79.93,72,76,10.22,broken clouds,SL
208,Georgiyevka,43.0369,74.7114,23.04,86,0,6.71,clear sky,KZ
209,Adrar,20.5022,-10.0711,71.98,9,11,8.5,few clouds,MR
210,Ust-Omchug,61.15,149.6333,-14.37,83,100,5.95,overcast clouds,RU
211,Ambovombe,-25.1667,46.0833,75.42,88,11,20.92,few clouds,MG
212,Dunedin,-45.8742,170.5036,52.81,86,100,5.99,overcast clouds,NZ
213,Provideniya,64.3833,-173.3,-0.44,65,0,13.73,clear sky,RU
214,Leningradskiy,69.3833,178.4167,-17.66,92,40,9.42,scattered clouds,RU
215,Monrovia,6.3005,-10.7969,85.77,77,20,9.8,few clouds,LR
216,Kemi,65.8596,24.8228,20.97,86,100,17.27,snow,FI
217,Alugan,12.2188,125.4808,76.6,86,100,8.72,overcast clouds,PH
218,Sumbe,-11.2061,13.8437,76.89,76,100,8.97,overcast clouds,AO
219,Lavrentiya,65.5833,-171.0,0.84,52,0,17.34,clear sky,RU
220,Norwich,52.6278,1.2983,41.88,77,20,1.99,few clouds,GB
221,Walvis Bay,-22.9575,14.5053,67.08,78,8,11.05,clear sky,NA
222,Progreso,21.2833,-89.6667,87.91,60,0,11.27,clear sky,MX
223,Necochea,-38.5473,-58.7368,71.04,56,100,15.1,light rain,AR
224,Cuamba,-14.8031,36.5372,70.14,94,24,3.06,light rain,MZ
225,Faya,18.3851,42.4509,59.11,85,19,7.56,few clouds,SA
226,Hessisch Oldendorf,52.1667,9.25,45.91,88,100,17.45,overcast clouds,DE
227,Faanui,-16.4833,-151.75,80.26,75,22,13.96,few clouds,PF
228,Upernavik,72.7868,-56.1549,-0.98,100,79,9.95,broken clouds,GL
229,Neiafu,-18.65,-173.9833,81.28,89,75,11.5,broken clouds,TO
230,Shima,24.4478,117.8111,52.21,86,98,6.46,overcast clouds,CN
231,Salalah,17.0151,54.0924,75.29,60,0,2.3,clear sky,OM
232,Srednekolymsk,67.45,153.6833,-34.44,100,100,0.67,overcast clouds,RU
233,Hamilton,39.1834,-84.5333,25.88,85,100,1.99,overcast clouds,US
234,Luau,-10.7073,22.2247,64.35,97,82,0.87,broken clouds,AO
235,Yulara,-25.2406,130.9889,64.24,59,0,6.91,clear sky,AU
236,Bengkulu,-3.8004,102.2655,73.76,95,100,6.44,overcast clouds,ID
237,Itarema,-2.9248,-39.9167,82.98,68,99,14.81,light rain,BR
238,Balaipungut,1.05,101.2833,73.81,98,96,1.99,moderate rain,ID
239,Dohar,23.5883,90.1469,64.38,94,50,3.47,scattered clouds,BD
240,Morondava,-20.2833,44.2833,83.07,76,12,15.01,few clouds,MG
241,Yerofey Pavlovich,53.9667,121.9667,0.45,86,100,2.95,overcast clouds,RU
242,Polson,47.6936,-114.1632,32.59,83,100,5.68,overcast clouds,US
243,Ayagoz,47.9714,80.4392,-11.7,91,4,5.61,clear sky,KZ
244,Olafsvik,64.8945,-23.7142,28.13,71,100,16.35,overcast clouds,IS
245,Mahebourg,-20.4081,57.7,79.25,94,75,13.8,broken clouds,MU
246,Geraldton,-28.7667,114.6,70.21,60,0,3.44,clear sky,AU
247,Jijiga,9.35,42.8,62.02,28,43,6.58,scattered clouds,ET
248,Laje,-10.1833,-40.9667,91.27,30,28,9.91,scattered clouds,BR
249,Anamur,36.0751,32.8369,53.62,60,20,9.73,few clouds,TR
250,Lorengau,-2.0226,147.2712,80.01,74,32,5.91,scattered clouds,PG
251,Luderitz,-26.6481,15.1594,70.02,69,34,12.64,scattered clouds,NA
252,Shagonar,51.5333,92.8,-17.88,99,95,2.37,overcast clouds,RU
253,Honiara,-9.4333,159.95,78.15,88,100,3.4,overcast clouds,SB
254,Opuwo,-18.0607,13.84,73.44,43,60,11.3,broken clouds,NA
255,Flin Flon,54.7682,-101.865,-16.76,63,75,8.05,broken clouds,CA
256,Arua,3.0201,30.9111,75.99,30,100,3.47,overcast clouds,UG
257,Chuy,-33.6971,-53.4616,80.74,69,18,5.64,few clouds,UY
258,Kawhia,-38.0651,174.8183,73.15,84,95,7.81,overcast clouds,NZ
259,Te Anau,-45.4167,167.7167,44.01,93,45,4.27,scattered clouds,NZ
260,Frolovo,49.7713,43.6622,27.39,88,100,12.1,overcast clouds,RU
261,Saint-Pierre,-21.3393,55.4781,80.28,69,75,8.05,light rain,RE
262,Gumdag,39.2061,54.5906,55.47,37,100,11.01,overcast clouds,TM
263,Veraval,20.9,70.3667,66.88,56,4,4.07,clear sky,IN
264,Constantine,36.365,6.6147,62.01,25,0,13.8,clear sky,DZ
265,Henties Bay,-22.116,14.2845,66.85,82,73,7.74,broken clouds,NA
266,Iqaluit,63.7506,-68.5145,-15.07,58,100,9.22,overcast clouds,CA
267,Esperance,-33.8667,121.9,64.24,76,1,15.14,clear sky,AU
268,Nabire,-3.3667,135.4833,75.97,91,100,1.41,overcast clouds,ID
269,Ranghulu,46.65,124.8667,-6.38,91,100,6.15,overcast clouds,CN
270,Kitimat,54.0524,-128.6534,39.9,30,100,6.08,moderate rain,CA
271,San Quintin,30.4833,-115.95,61.0,26,0,5.39,clear sky,MX
272,Hermiston,45.8404,-119.2895,55.11,86,0,0.0,clear sky,US
273,Anadyr,64.75,177.4833,-11.16,79,1,6.73,clear sky,RU
274,Biak,-0.9131,122.8766,75.88,85,100,3.58,overcast clouds,ID
275,Derbent,42.0678,48.2899,43.97,84,100,9.98,overcast clouds,RU
276,Notre-Dame-Du-Lac,47.6136,-68.7964,10.26,89,100,9.13,overcast clouds,CA
277,Kaeo,-35.1,173.7833,71.33,96,84,10.83,broken clouds,NZ
278,Mujiayingzi,42.1167,118.7833,4.3,59,0,10.11,clear sky,CN
279,Sirsa,29.5333,75.0167,49.42,86,0,6.6,clear sky,IN
280,Vila Velha,-20.3297,-40.2925,82.35,83,75,3.0,broken clouds,BR
281,Kudahuvadhoo,2.6708,72.8944,81.77,74,65,9.82,broken clouds,MV
282,Xiongzhou,25.1167,114.3,41.52,83,40,3.31,scattered clouds,CN
283,Coos Bay,43.3665,-124.2179,45.14,100,100,9.22,mist,US
284,Dolores,-36.3132,-57.6792,84.92,40,97,1.07,overcast clouds,AR
285,Puerto Leguizamo,-0.1934,-74.7819,81.46,83,100,1.1,overcast clouds,CO
286,Nemuro,43.3236,145.575,20.53,80,10,11.16,clear sky,JP
287,Oktyabrskoye,43.0645,44.7417,33.94,93,75,8.95,snow,RU
288,Rawson,-43.3002,-65.1023,64.69,68,40,26.46,scattered clouds,AR
289,Altamont,42.2068,-121.7372,39.78,71,0,1.99,clear sky,US
290,Bella Vista,36.4295,-94.2316,29.52,63,0,3.0,snow,US
291,Itamaraju,-17.0392,-39.5311,78.21,84,100,7.02,overcast clouds,BR
292,Kendari,-3.945,122.4989,76.28,90,100,2.04,light rain,ID
293,Poum,-20.2333,164.0167,81.43,84,100,17.6,heavy intensity rain,NC
294,Cileungsi,-6.3947,106.9592,76.41,92,100,3.36,overcast clouds,ID
295,Palmer,42.1584,-72.3287,35.85,93,100,11.5,snow,US
296,Saurimo,-9.6608,20.3916,63.63,96,54,2.75,broken clouds,AO
297,Stephenville,32.2207,-98.2023,28.74,85,100,0.0,overcast clouds,US
298,Kahului,20.8947,-156.47,67.68,73,0,4.61,clear sky,US
299,Pevek,69.7008,170.3133,-22.72,100,82,4.23,broken clouds,RU
300,Basna,21.2833,82.8167,60.28,32,0,6.06,clear sky,IN
301,Saint-Francois,46.4154,3.9054,47.64,77,75,4.61,broken clouds,FR
302,Bongandanga,1.5,21.05,76.96,34,14,3.27,few clouds,CD
303,Barguzin,53.6167,109.6167,-0.44,97,100,1.48,overcast clouds,RU
304,Santa Marta,11.2408,-74.199,87.85,66,20,4.61,few clouds,CO
305,Tautira,-17.7333,-149.15,82.42,77,14,15.19,light rain,PF
