City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Hilo,19.7297,-155.09,80.33,62,20,11.5,US,2022-01-31 23:49:52
159,Mattawa,46.7379,-119.9028,48.85,55,28,14.0,US,2022-01-31 23:49:53
160,Narsaq,60.9167,-46.05,26.82,88,99,5.66,GL,2022-01-31 23:49:53
161,Khatanga,71.9667,102.5,-28.84,100,44,2.91,RU,2022-01-31 23:49:53
162,Normandin,48.8333,-72.5321,-7.98,70,91,6.91,CA,2022-01-31 23:49:54
163,Chokurdakh,70.6333,147.9167,-13.92,95,100,2.24,RU,2022-01-31 23:49:54
164,San Buenaventura,27.0833,-101.5333,74.37,15,0,10.18,MX,2022-01-31 23:49:54
165,Khoy,38.5504,44.9535,18.3,79,100,5.66,IR,2022-01-31 23:49:55
166,Kruisfontein,-34.0033,24.7314,70.88,98,99,4.63,ZA,2022-01-31 23:49:55
167,Airai,-8.9266,125.4092,67.21,69,78,5.61,TL,2022-01-31 23:49:55
168,Aripuana,-9.1667,-60.6333,71.76,97,100,2.04,BR,2022-01-31 23:49:56
169,General Roca,-39.0333,-67.5833,84.6,16,1,6.98,AR,2022-01-31 23:46:03
170,Saint Anthony,45.0205,-93.218,29.14,74,75,5.99,US,2022-01-31 23:48:27
171,Camargo,27.6667,-105.1667,67.39,15,0,9.22,MX,2022-01-31 23:49:56
172,Vostok,46.4856,135.8833,-3.24,94,99,3.71,RU,2022-01-31 23:49:56
173,Elizabeth City,36.2946,-76.2511,42.82,81,0,8.05,US,2022-01-31 23:49:57
174,Suluq,31.6682,20.2521,52.29,69,1,10.25,LY,2022-01-31 23:49:57
175,Richards Bay,-28.783,32.0377,74.35,82,61,9.89,ZA,2022-01-31 23:49:58
176,Coquimbo,-29.9533,-71.3436,65.93,77,40,10.36,CL,2022-01-31 23:49:58
177,Kailua,21.4022,-157.7394,80.58,67,40,6.91,US,2022-01-31 23:49:58
178,Kamenka,51.3223,42.7678,31.75,89,100,17.92,RU,2022-01-31 23:49:59
179,Mercedes,-34.6515,-59.4307,71.85,46,6,8.16,AR,2022-01-31 23:49:59
180,Ostrovnoy,68.0531,39.5131,11.07,96,100,5.3,RU,2022-01-31 23:50:00
